run_time,lead,valid_time,Region,cell_id,Latitude,Longitude,rain
2024-08-17T04:00:00,9,17-08 13,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,9,17-08 13,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.012992126133850241
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.013385826912451918
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.01062992131557521
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.007086614088162663
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.00826771627730272
2024-08-17T04:00:00,10,17-08 14,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.007086614454825094
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.025196851003827073
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.01653543255460544
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.019685038196758962
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.02362204818275031
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.015748032317386838
2024-08-17T04:00:00,11,17-08 15,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.016141730969346416
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.01968503937007874
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.03346456786778968
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.04527558961252528
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.022834645012232264
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.037401571987182136
2024-08-17T04:00:00,12,17-08 16,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.05078740241959339
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.0
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,13,17-08 17,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.0015748016477569822
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.003937008812671571
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.00039370041193924555
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0007874055171576072
2024-08-17T04:00:00,14,17-08 18,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.003543308400732326
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.00039370041193924555
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,15,17-08 19,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_1,40.87000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_2,40.87000000000009,-74.55999999999995,0.00039370041193924555
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_3,40.87000000000009,-74.52999999999994,0.002362202471635473
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_4,40.90000000000009,-74.58999999999995,0.0
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_5,40.90000000000009,-74.55999999999995,0.0
2024-08-17T04:00:00,16,17-08 20,Dover,Cell_6,40.90000000000009,-74.52999999999994,0.0015748016477569822
